Title,PDF Link
See how companies are reporting on the SDGS,https://info.unglobalcompact.org/l/591891/t-CDL-Enel-Iberdrola-FINAL-pdf/58cqfy
See how companies are reporting on the SDGS,https://info.unglobalcompact.org/l/591891/-Iberdrola-PTTGlobal-FINAL-pdf/58cqg2
See how companies are reporting on the SDGS,https://info.unglobalcompact.org/l/591891/ontent-CDL-PTTGlobal-FINAL-pdf/58cqg5
See how companies are reporting on the SDGS,https://info.unglobalcompact.org/l/591891/-PTTGlobal-Safaricom-FINAL-pdf/58cqg8
See how companies are reporting on the SDGS,https://info.unglobalcompact.org/l/591891/iona-Ayala-Safaricom-FINAL-pdf/58cqgc
Blue Bonds Reference Paper,https://info.unglobalcompact.org/l/591891/tainable-Ocean-Investments-pdf/58cqgk
Ocean Stewardship 2030,https://info.unglobalcompact.org/l/591891/an-Stewardship-2030-Report-pdf/58cqgn
Seaweed Manifesto,https://ungc-communications-assets.s3.amazonaws.com/docs/publications/The-Seaweed-Manifesto.pdf
Advancing Science for Sustainable Ocean Business,https://ungc-communications-assets.s3.amazonaws.com/docs/publications/Advancing-Science-for-Sustainable-Ocean-Business.pdf
Leadership for the Decade of Action,https://info.unglobalcompact.org/l/591891/-the-Decade-of-Action-2020-pdf/58cqgr
Leadership for the Decade of Action,https://info.unglobalcompact.org/l/591891/A8E79083E68AA5E5918A-final-pdf/58cqgv
UN Global Compact 20th-Anniversary Progress Report: Uniting Business in the Decade of Action,https://info.unglobalcompact.org/l/591891/mpact-Progress-Report-2020-pdf/58cqgy
2020 Pressures Report,https://ungc-communications-assets.s3.amazonaws.com/docs/publications/GCNA-Pressures-Report-2020-WEBpageslow.pdf
Strengthening Resilience: Acting on Climate Change and Health,https://ungc-communications-assets.s3.amazonaws.com/docs/publications/Climate-Change-and-Health-Report.pdf
Business Guide - Beirut Explosions,https://ungc-communications-assets.s3.amazonaws.com/docs/publications/BeirutPortExplosions-BusinessGuide.pdf
Sustainable Development Goals: A Guide for Employees,https://ungc-communications-assets.s3.amazonaws.com/docs/publications/2019.11.26_GCNA-SDG-Employees-Guide.pdf
Navigating Decent Work Challenges in Multi-Tiered Supply Chains: Leadership Brief,https://info.unglobalcompact.org/l/591891/-Tiered-Supply-Chains-2020-pdf/58cqqy
Blue Resilience Brief,https://ungc-communications-assets.s3.amazonaws.com/docs/publications/Towards-a-More-Resilient-and-Sustainable-Blue-Economy.pdf
Integration Guide: Designing Business Systems for the SDGs,https://info.unglobalcompact.org/l/591891/on-IntegrationGuide-200923-pdf/58cml2
Integration Guide: Designing Business Systems for the SDGs,https://info.unglobalcompact.org/l/591891/tion-IntegrationGuide-THAI-pdf/58cml5
Integration Guide: Designing Business Systems for the SDGs,https://info.unglobalcompact.org/l/591891/n-IntegrationGuide-Russian-pdf/58cml8
Ambition Guide: Setting Goals for the Decade of Action,https://info.unglobalcompact.org/l/591891/mbition-AmbitionGuide-THAI-pdf/58cmlg
Financial Sector Science -Based Targets Guidance,https://ungc-communications-assets.s3.amazonaws.com/docs/publications/Financial-Sector-Science-Based-Targets-Guidance-Pilot-Version.pdf
Foundations for Science- Based Net- Zero Target Setting in the Corporate Sector,https://ungc-communications-assets.s3.amazonaws.com/docs/publications/foundations-for-net-zero-full-paper.pdf
Practical Guidance to Issue a Blue Bond,https://ungc-communications-assets.s3.amazonaws.com/docs/publications/Practical-Guidance-to-Issue-a-Blue-Bond.pdf
Family-Friendly Workplaces: Policies and Practices to Advance Decent Work in Global Supply Chains,https://info.unglobalcompact.org/l/591891/ndly-Workplaces28202029-EN-pdf/58cqr2
Family-Friendly Workplaces: Policies and Practices to Advance Decent Work in Global Supply Chains,https://info.unglobalcompact.org/l/591891/ndly-Workplaces28202029-ES-pdf/58cqr5
Family-Friendly Workplaces: Policies and Practices to Advance Decent Work in Global Supply Chains,https://info.unglobalcompact.org/l/591891/-Workplaces28202029-Bahasa-pdf/58cqr8
Family-Friendly Workplaces: Policies and Practices to Advance Decent Work in Global Supply Chains,https://info.unglobalcompact.org/l/591891/ndly-Workplaces28202029-DE-pdf/58cqrc
Target Gender Equality Newsletter,https://ungc-communications-assets.s3.amazonaws.com/docs/publications/TGE%20Newsletter_October%202020.pdf
Setting Science-Based Targets,https://ungc-communications-assets.s3.amazonaws.com/docs/publications/SBTi%20Corporate%20Net-Zero%20Standard_Chinese.pdf
Oil and Gas Practical Guidance for the Sustainable Ocean Principles,https://ungc-communications-assets.s3.amazonaws.com/docs/publications/UN-Global-Compact-Sustainable-Ocean-Principles-Oil-and-Gas.pdf
Aquaculture Practical Guidance for the Sustainable Ocean Principles,https://ungc-communications-assets.s3.amazonaws.com/docs/publications/UN-Global-Compact-Sustainable-Ocean-Principles-%20Aquaculture.pdf
Ocean Renewable Energy Practical Guidance for the Sustainable Ocean Principles,https://ungc-communications-assets.s3.amazonaws.com/docs/publications/UN-Global-Compact-Sustainable-Ocean-Principles-Ocean-Renewable-Energy.pdf
Seaweed Practical Guidance for the Sustainable Ocean Principles,https://ungc-communications-assets.s3.amazonaws.com/docs/publications/UN%20Global-Compact-Sustainable-Ocean-Principles-Seaweed.pdf
